alpha3_code,date,name
AIA,2023-08-10,August Thursday
AIA,2023-08-11,Constitution Day
AIA,2023-12-19,National Heroes and Heroines Day
AIA,2023-12-25,Christmas Day
AIA,2023-12-26,Boxing Day
AIA,2024-01-01,New Year's Day
AIA,2024-03-02,James Ronald Webster Day
AIA,2024-03-04,James Ronald Webster Day (observed)
AIA,2024-03-29,Good Friday
AIA,2024-03-31,Easter Sunday
AIA,2024-04-01,Easter Monday
AIA,2024-05-01,Labor Day
AIA,2024-05-20,Whit Monday
AIA,2024-05-30,Anguilla Day
AIA,2024-06-17,King's Birthday
AIA,2024-08-05,August Monday
AIA,2024-08-08,August Thursday
AIA,2024-08-09,Constitution Day
AIA,2024-12-19,National Heroes and Heroines Day
AIA,2024-12-25,Christmas Day
AIA,2024-12-26,Boxing Day
AIA,2025-01-01,New Year's Day
AIA,2025-02-28,Special Public Holiday
AIA,2025-03-02,James Ronald Webster Day
AIA,2025-03-03,James Ronald Webster Day (observed)
AIA,2025-04-18,Good Friday
AIA,2025-04-20,Easter Sunday
AIA,2025-04-21,Easter Monday
AIA,2025-05-01,Labor Day
AIA,2025-05-30,Anguilla Day
AIA,2025-06-09,Whit Monday
AIA,2025-06-16,King's Birthday
AIA,2025-08-04,August Monday
AIA,2025-08-07,August Thursday
AIA,2025-08-08,Constitution Day
AIA,2025-12-19,National Heroes and Heroines Day
AIA,2025-12-25,Christmas Day
AIA,2025-12-26,Boxing Day
AIA,2026-01-01,New Year's Day
AIA,2026-03-02,James Ronald Webster Day
AIA,2026-04-03,Good Friday
AIA,2026-04-05,Easter Sunday
AIA,2026-04-06,Easter Monday
AIA,2026-05-01,Labor Day
AIA,2026-05-25,Whit Monday
AIA,2026-05-30,Anguilla Day
AIA,2026-06-01,Anguilla Day (observed)
AIA,2026-06-15,King's Birthday
AIA,2026-08-03,August Monday
AIA,2026-08-06,August Thursday
AIA,2026-08-07,Constitution Day
AIA,2026-12-18,National Heroes and Heroines Day (observed)
AIA,2026-12-19,National Heroes and Heroines Day
AIA,2026-12-25,Christmas Day
AIA,2026-12-26,Boxing Day
AIA,2026-12-28,Boxing Day (observed)
ALA,2015-01-01,New Year's Day
ALA,2015-01-06,Epiphany
ALA,2015-04-03,Good Friday
ALA,2015-04-05,Easter Sunday
ALA,2015-04-06,Easter Monday
ALA,2015-05-01,May Day
ALA,2015-05-14,Ascension Day
ALA,2015-05-24,Whit Sunday
ALA,2015-06-09,Åland's Autonomy Day
ALA,2015-06-19,Midsummer Eve
ALA,2015-06-20,Midsummer Day
ALA,2015-10-31,All Saints' Day
